description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Defence	1				100					2	any,rar	s83						useitem				ac			10	10	levelreq			5	5																																																																										0
EnhDef	1				100					2	any,rar	s84						useitem				ac%			10	10	levelreq			5	5																																																																										0
DefvMissiles	1				100					2	any,rar	s85						useitem				ac-miss			15	15	levelreq			5	5																																																																										0
DefvMelee	1				100					2	any,rar	s86						useitem				ac-hth			10	10	levelreq			5	5																																																																										0
DamRed#	1				100					2	any,rar	s87						useitem				red-dmg			5	5	levelreq			5	5																																																																										0
DamRed%	1				100					2	any,rar	s88						useitem				red-dmg%			10	10	levelreq			5	5																																																																										0
MagicDamageReduced	1				100					2	any,rar	s89						useitem				red-mag			5	5	levelreq			5	5																																																																										0
FireResistance	1				100					2	any,rar	s90						useitem				res-fire			10	10	levelreq			5	5																																																																										0
FireResistanceMax	1				100					2	any,rar	s91						useitem				res-fire-max			5	5	levelreq			5	5																																																																										0
ColdResistance	1				100					2	any,rar	s92						useitem				res-cold			10	10	levelreq			5	5																																																																										0
ColdResistanceMax	1				100					2	any,rar	s34						useitem				res-cold-max			5	5	levelreq			5	5																																																																										0
LightningResistance	1				100					2	any,rar	s35						useitem				res-ltng			10	10	levelreq			5	5																																																																										0
LightningResistanceMax	1				100					2	any,rar	s36						useitem				res-ltng-max			5	5	levelreq			5	5																																																																										0
MagicResistance	1				100					2	any,rar	s37						useitem				res-mag			10	10	levelreq			5	5																																																																										0
MagicResistanceMax	1				100					2	any,rar	s38						useitem				res-mag-max			5	5	levelreq			5	5																																																																										0
PoisonResistance	1				100					2	any,rar	s39						useitem				res-pois			10	10	levelreq			5	5																																																																										0
PoisonResistanceMax	1				100					2	any,rar	s40						useitem				res-pois-max			5	5	levelreq			5	5																																																																										0
AllResistances	1				100					2	any,rar	s41						useitem				res-all			10	10	levelreq			5	5																																																																										0
AllResistancesMax	1				100					2	any,rar	s42						useitem				res-all-max			5	5	levelreq			5	5																																																																										0
Str	1				100					2	any,rar	s43						useitem				str			10	10	levelreq			5	5																																																																										0
Dex	1				100					2	any,rar	s44						useitem				dex			10	10	levelreq			5	5																																																																										0
Vit	1				100					2	any,rar	s45						useitem				vit			10	10	levelreq			5	5																																																																										0
Energy	1				100					2	any,rar	s46						useitem				enr			10	10	levelreq			5	5																																																																										0
All Attributes	1				100					2	any,rar	s51						useitem				all-stats			5	5	levelreq			5	5																																																																										0
Life	1				100					2	any,rar	s47						useitem				hp			10	10	levelreq			5	5																																																																										0
Life %	1				100					2	any,rar	s48						useitem				hp%			6	6	levelreq			5	5																																																																										0
Mana	1				100					2	any,rar	s49						useitem				mana			10	10	levelreq			5	5																																																																										0
Mana %	1				100					2	any,rar	s50						useitem				mana%			5	5	levelreq			5	5																																																																										0
Faster Run Walk	1				100					2	any,rar	s52						useitem				move1			10	10	levelreq			5	5																																																																										0
Hit Recovery	1				100					2	any,rar	s53						useitem				balance1			10	10	levelreq			5	5																																																																										0
Faster Block Rate	1				100					2	any,rar	s54						useitem				block1			10	10	levelreq			5	5																																																																										0
Cannot be Frozen	1				100					2	any,rar	s56						useitem				nofreeze			1	1	levelreq			5	5																																																																										0
Replenish Life	1				100					2	any,rar	s57						useitem				regen			5	5	levelreq			5	5																																																																										0
Mana Regen	1				100					2	any,rar	s58						useitem				regen-mana			10	10	levelreq			5	5																																																																										0
All Skills	1				100					2	any,rar	s59						useitem				allskills			1	1	levelreq			5	5																																																																										0
LightRadiusInc	1				100					2	any,rar	v50						useitem				light			3	3	levelreq			5	5																																																																										0
ReducePoisonLength	1				100					2	any,rar	v52						useitem				res-pois-len			10	10	levelreq			5	5																																																																										0
ThornDamage	1				100					2	any,rar	v53						useitem				thorns			5	5	levelreq			5	5																																																																										0
FireSkillDam	1				100					2	any,rar	v54						useitem				extra-fire			10	10	levelreq			5	5																																																																										0
LighSkillDam	1				100					2	any,rar	v55						useitem				extra-ltng			10	10	levelreq			5	5																																																																										0
ColdSkillDam	1				100					2	any,rar	v56						useitem				extra-cold			10	10	levelreq			5	5																																																																										0
PoisSkillDam	1				100					2	any,rar	v57						useitem				extra-pois			10	10	levelreq			5	5																																																																										0
ReducePrices	1				100					2	any,rar	zz8						useitem				cheap			5	5	levelreq			5	5																																																																										0
Sore Random	1				100					2	any,rar	zz9						useitem				dmg			99	99	ac			50	50																																																																										0
ExtraGold	1				100					2	any,uni	s60						useitem				gold%			10	10	levelreq			5	5																																																																										0
MagicFind	1				100					2	any,uni	s71						useitem				mag%			10	10	levelreq			5	5																																																																										0
ReduceRequirments	1				100					2	any,uni	s95						useitem				ease			-10	-10	levelreq			5	5																																																																										0
Indestructable	1				100					2	any,uni	s97						useitem				indestruct			1	1	levelreq			5	5																																																																										0
MinFireDam	1				100					2	any,uni	s61						useitem				fire-min			10	10	levelreq			5	5																																																																										0
MaxFireDam	1				100					2	any,uni	s62						useitem				fire-max			10	10	levelreq			5	5																																																																										0
MinColdDam	1				100					2	any,uni	s63						useitem				cold-min			10	10	cold-len			1	1																																																																										0
MaxColdDamn	1				100					2	any,uni	s64						useitem				cold-max			10	10	levelreq			5	5																																																																										0
MinLightningDam	1				100					2	any,uni	s65						useitem				ltng-min			10	10	levelreq			5	5																																																																										0
MaxLightningDam	1				100					2	any,uni	s66						useitem				ltng-max			10	10	levelreq			5	5																																																																										0
MinPoisonDam	1				100					2	any,uni	s67						useitem				pois-min			10	10	pois-len			25	25																																																																										0
MaxPoisonDam	1				100					2	any,uni	s68						useitem				pois-max			10	10	pois-len			25	25																																																																										0
MinDam	1				100					2	any,uni	s69						useitem				dmg-min			10	10	levelreq			5	5																																																																										0
MaxDam	1				100					2	any,uni	s70						useitem				dmg-max			10	10	levelreq			5	5																																																																										0
Exp%	1				100					2	any,uni	s72						useitem				addxp			10	10	levelreq			5	5																																																																										0
AttRating	1				100					2	any,uni	s73						useitem				att			20	20	levelreq			5	5																																																																										0
Enhanced Damage	1				100					2	any,uni	s74						useitem				dmg%			15	15	levelreq			5	5																																																																										0
AttackSpeed	1				100					2	any,uni	s75						useitem				swing1			10	10	levelreq			5	5																																																																										0
Att Rating %	1				100					2	any,uni	s76						useitem				att%			10	10	levelreq			5	5																																																																										0
Cast Speed	1				100					2	any,uni	s77						useitem				cast1			10	10	levelreq			5	5																																																																										0
Life Steal	1				100					2	any,uni	s93						useitem				lifesteal			2	2	levelreq			5	5																																																																										0
Mana Steal	1				100					2	any,uni	s94						useitem				manasteal			2	2	levelreq			5	5																																																																										0
FreezeTarget	1				100					2	any,uni	s78						useitem				freeze			5	5	levelreq			5	5																																																																										0
ChanceOpenWounds	1				100					2	any,uni	s79						useitem				openwounds			10	10	levelreq			5	5																																																																										0
ChanceCrushingBlow	1				100					2	any,uni	s80						useitem				crush			10	10	levelreq			5	5																																																																										0
ChanceDeadlyStrike	1				100					2	any,uni	s81						useitem				deadly			10	10	levelreq			5	5																																																																										0
ChanceSlowTarget	1				100					2	any,uni	s82						useitem				slow			10	10	levelreq			5	5																																																																										0
Defence	1				100					2	any,uni	s83						useitem				ac			10	10	levelreq			5	5																																																																										0
EnhDef	1				100					2	any,uni	s84						useitem				ac%			10	10	levelreq			5	5																																																																										0
DefvMissiles	1				100					2	any,uni	s85						useitem				ac-miss			15	15	levelreq			5	5																																																																										0
DefvMelee	1				100					2	any,uni	s86						useitem				ac-hth			10	10	levelreq			5	5																																																																										0
DamRed#	1				100					2	any,uni	s87						useitem				red-dmg			5	5	levelreq			5	5																																																																										0
DamRed%	1				100					2	any,uni	s88						useitem				red-dmg%			10	10	levelreq			5	5																																																																										0
MagicDamageReduced	1				100					2	any,uni	s89						useitem				red-mag			5	5	levelreq			5	5																																																																										0
FireResistance	1				100					2	any,uni	s90						useitem				res-fire			10	10	levelreq			5	5																																																																										0
FireResistanceMax	1				100					2	any,uni	s91						useitem				res-fire-max			5	5	levelreq			5	5																																																																										0
ColdResistance	1				100					2	any,uni	s92						useitem				res-cold			10	10	levelreq			5	5																																																																										0
ColdResistanceMax	1				100					2	any,uni	s34						useitem				res-cold-max			5	5	levelreq			5	5																																																																										0
LightningResistance	1				100					2	any,uni	s35						useitem				res-ltng			10	10	levelreq			5	5																																																																										0
LightningResistanceMax	1				100					2	any,uni	s36						useitem				res-ltng-max			5	5	levelreq			5	5																																																																										0
MagicResistance	1				100					2	any,uni	s37						useitem				res-mag			10	10	levelreq			5	5																																																																										0
MagicResistanceMax	1				100					2	any,uni	s38						useitem				res-mag-max			5	5	levelreq			5	5																																																																										0
PoisonResistance	1				100					2	any,uni	s39						useitem				res-pois			10	10	levelreq			5	5																																																																										0
PoisonResistanceMax	1				100					2	any,uni	s40						useitem				res-pois-max			5	5	levelreq			5	5																																																																										0
AllResistances	1				100					2	any,uni	s41						useitem				res-all			10	10	levelreq			5	5																																																																										0
AllResistancesMax	1				100					2	any,uni	s42						useitem				res-all-max			5	5	levelreq			5	5																																																																										0
Str	1				100					2	any,uni	s43						useitem				str			10	10	levelreq			5	5																																																																										0
Dex	1				100					2	any,uni	s44						useitem				dex			10	10	levelreq			5	5																																																																										0
Vit	1				100					2	any,uni	s45						useitem				vit			10	10	levelreq			5	5																																																																										0
Energy	1				100					2	any,uni	s46						useitem				enr			10	10	levelreq			5	5																																																																										0
All Attributes	1				100					2	any,uni	s51						useitem				all-stats			5	5	levelreq			5	5																																																																										0
Life	1				100					2	any,uni	s47						useitem				hp			10	10	levelreq			5	5																																																																										0
Life %	1				100					2	any,uni	s48						useitem				hp%			6	6	levelreq			5	5																																																																										0
Mana	1				100					2	any,uni	s49						useitem				mana			10	10	levelreq			5	5																																																																										0
Mana %	1				100					2	any,uni	s50						useitem				mana%			5	5	levelreq			5	5																																																																										0
Faster Run Walk	1				100					2	any,uni	s52						useitem				move1			10	10	levelreq			5	5																																																																										0
Hit Recovery	1				100					2	any,uni	s53						useitem				balance1			10	10	levelreq			5	5																																																																										0
Faster Block Rate	1				100					2	any,uni	s54						useitem				block1			10	10	levelreq			5	5																																																																										0
Cannot be Frozen	1				100					2	any,uni	s56						useitem				nofreeze			1	1	levelreq			5	5																																																																										0
Replenish Life	1				100					2	any,uni	s57						useitem				regen			5	5	levelreq			5	5																																																																										0
Mana Regen	1				100					2	any,uni	s58						useitem				regen-mana			10	10	levelreq			5	5																																																																										0
All Skills	1				100					2	any,uni	s59						useitem				allskills			1	1	levelreq			5	5																																																																										0
LightRadiusInc	1				100					2	any,uni	v50						useitem				light			3	3	levelreq			5	5																																																																										0
ReducePoisonLength	1				100					2	any,uni	v52						useitem				res-pois-len			10	10	levelreq			5	5																																																																										0
ThornDamage	1				100					2	any,uni	v53						useitem				thorns			5	5	levelreq			5	5																																																																										0
FireSkillDam	1				100					2	any,uni	v54						useitem				extra-fire			10	10	levelreq			5	5																																																																										0
LighSkillDam	1				100					2	any,uni	v55						useitem				extra-ltng			10	10	levelreq			5	5																																																																										0
ColdSkillDam	1				100					2	any,uni	v56						useitem				extra-cold			10	10	levelreq			5	5																																																																										0
PoisSkillDam	1				100					2	any,uni	v57						useitem				extra-pois			10	10	levelreq			5	5																																																																										0
ReducePrices	1				100					2	any,uni	zz8						useitem				cheap			5	5	levelreq			5	5																																																																										0
Sore Random	1				100					2	any,uni	zz9						useitem				dmg			99	99	ac			50	50																																																																										0
SORE合成配方	1				0					4	rin,uni	gem4	r26	jew				sore	99		1000																																																																																				0
SORE合成配方	1				0					4	rin,uni	gem4	r31	jew				s74	99		1000																																																																																				0
SORE合成配方	1				0					4	amu,uni	gem4	r31	jew				s41	99		1000																																																																																				0
SORE合成配方	1				0					4	jew,uni	gem4	r31	jew				s51	99		1000																																																																																				0
SORE合成配方	1				0					4	rin,uni	gem4	r32	jew				s72	99		1000																																																																																				0
SORE合成配方	1				0					4	amu,uni	gem4	r32	jew				s75	99		1000																																																																																				0
SORE合成配方	1				0					4	jew,uni	gem4	r32	jew				s77	99		1000																																																																																				0
SORE合成配方	1				0					4	rin,uni	gem4	r33	jew				zz8	99		1000																																																																																				0
SORE合成配方	1				0					4	amu,uni	gem4	r33	jew				s59	99		1000																																																																																				0
SORE合成配方	1				0					1	zz9							sore	99		1000																																																																																				0
SORE合成配方	1				0					2	sore,qty=2							zz9	99		1000																																																																																				0
SORE合成配方	1				0					4	sore,qty=3	jew						srM	99		1000																																																																																				0
Rune 2 -> Rune 1	1				100					2	r02	wms						r01																																																																																							0
Rune 3 -> Rune 2	1				100					2	r03	wms						r02																																																																																							0
Rune 4 -> Rune 3	1				100					2	r04	wms						r03																																																																																							0
Rune 5 -> Rune 4	1				100					2	r05	wms						r04																																																																																							0
Rune 6 -> Rune 5	1				100					2	r06	wms						r05																																																																																							0
Rune 7 -> Rune 6	1				100					2	r07	wms						r06																																																																																							0
Rune 8 -> Rune 7	1				100					2	r08	wms						r07																																																																																							0
Rune 9 -> Rune 8	1				100					2	r09	wms						r08																																																																																							0
Rune 10 -> Rune 9	1				100					2	r10	wms						r09																																																																																							0
Rune 11 -> Rune 10	1				100					2	r11	wms						r10																																																																																							0
Rune 12 -> Rune 11	1				100					2	r12	wms						r11																																																																																							0
Rune 13 -> Rune 12	1				100					2	r13	wms						r12																																																																																							0
Rune 14 -> Rune 13	1				100					2	r14	wms						r13																																																																																							0
Rune 15 -> Rune 14	1				100					2	r15	wms						r14																																																																																							0
Rune 16 -> Rune 15	1				100					2	r16	wms						r15																																																																																							0
Rune 17 -> Rune 16	1				100					2	r17	wms						r16																																																																																							0
Rune 18 -> Rune 17	1				100					2	r18	wms						r17																																																																																							0
Rune 19 -> Rune 18	1				100					2	r19	wms						r18																																																																																							0
Rune 20 -> Rune 19	1				100					2	r20	wms						r19																																																																																							0
Rune 21 -> Rune 20	1				100					2	r21	wms						r20																																																																																							0
Rune 22 -> Rune 21	1				100					2	r22	wms						r21																																																																																							0
Rune 23 -> Rune 22	1				100					2	r23	wms						r22																																																																																							0
Rune 24 -> Rune 23	1				100					2	r24	wms						r23																																																																																							0
Rune 25 -> Rune 24	1				100					2	r25	wms						r24																																																																																							0
Rune 26 -> Rune 25	1				100					2	r26	wms						r25																																																																																							0
Rune 27 -> Rune 26	1				100					2	r27	wms						r26																																																																																							0
Rune 28 -> Rune 27	1				100					2	r28	wms						r27																																																																																							0
Rune 29 -> Rune 28	1				100					2	r29	wms						r28																																																																																							0
Rune 30 -> Rune 29	1				100					2	r30	wms						r29																																																																																							0
Rune 31 -> Rune 30	1				100					2	r31	wms						r30																																																																																							0
Rune 32 -> Rune 31	1				100					2	r32	wms						r31																																																																																							0
Rune 33 -> Rune 32	1				100					2	r33	wms						r32																																																																																							0
Rune 1 -> Rune 2	1				100					2	"r01,qty=2"							r02																																																																																							0
Rune 2 -> Rune 3	1				100					2	"r02,qty=2"							r03																																																																																							0
Rune 3 -> Rune 4	1				100					2	"r03,qty=2"							r04																																																																																							0
Rune 4 -> Rune 5	1				100					2	"r04,qty=2"							r05																																																																																							0
Rune 5 -> Rune 6	1				100					2	"r05,qty=2"							r06																																																																																							0
Rune 6 -> Rune 7	1				100					2	"r06,qty=2"							r07																																																																																							0
Rune 7 -> Rune 8	1				100					2	"r07,qty=2"							r08																																																																																							0
Rune 8 -> Rune 9	1				100					2	"r08,qty=2"							r09																																																																																							0
Rune 9 -> Rune 10	1				100					2	"r09,qty=2"							r10																																																																																							0
Rune 10 -> Rune 11	1				100					2	"r10,qty=2"							r11																																																																																							0
Rune 11 -> Rune 12	1				100					2	"r11,qty=2"							r12																																																																																							0
Rune 12 -> Rune 13	1				100					2	"r12,qty=2"							r13																																																																																							0
Rune 13 -> Rune 14	1				100					2	"r13,qty=2"							r14																																																																																							0
Rune 14 -> Rune 15	1				100					2	"r14,qty=2"							r15																																																																																							0
Rune 15 -> Rune 16	1				100					2	"r15,qty=2"							r16																																																																																							0
Rune 16 -> Rune 17	1				100					2	"r16,qty=2"							r17																																																																																							0
Rune 17 -> Rune 18	1				100					2	"r17,qty=2"							r18																																																																																							0
Rune 18 -> Rune 19	1				100					2	"r18,qty=2"							r19																																																																																							0
Rune 19 -> Rune 20	1				100					2	"r19,qty=2"							r20																																																																																							0
Rune 20 -> Rune 21	1				100					2	"r20,qty=2"							r21																																																																																							0
Rune 21 -> Rune 22	1				100					2	"r21,qty=2"							r22																																																																																							0
Rune 22 -> Rune 23	1				100					2	"r22,qty=2"							r23																																																																																							0
Rune 23 -> Rune 24	1				100					2	"r23,qty=2"							r24																																																																																							0
Rune 24 -> Rune 25	1				100					2	"r24,qty=2"							r25																																																																																							0
Rune 25 -> Rune 26	1				100					2	"r25,qty=2"							r26																																																																																							0
Rune 26 -> Rune 27	1				100					2	"r26,qty=2"							r27																																																																																							0
Rune 27 -> Rune 28	1				100					2	"r27,qty=2"							r28																																																																																							0
Rune 28 -> Rune 29	1				100					2	"r28,qty=2"							r29																																																																																							0
Rune 29 -> Rune 30	1				100					2	"r29,qty=2"							r30																																																																																							0
Rune 30 -> Rune 31	1				100					2	"r30,qty=2"							r31																																																																																							0
Rune 31 -> Rune 32	1				100					2	"r31,qty=2"							r32																																																																																							0
Rune 32 -> Rune 33	1				100					2	"r32,qty=2"							r33																																																																																							0
Easier Red Portal to Act 1 Cold Plains	1				100					2	"tes"	"r01"						"Red Portal,qty=3"																													r01																													tes																													0
Easier Red Portal to Act 1 Stony Field	1				100					2	"tes"	"r02"						"Red Portal,qty=4"																													r02																													tes																													0
Easier Red Portal to Act 1 Dark Wood	1				100					2	"tes"	"r03"						"Red Portal,qty=5"																													r03																													tes																													0
Easier Red Portal to Act 1 Black Marsh	1				100					2	"tes"	"r04"						"Red Portal,qty=6"																													r04																													tes																													0
Easier Red Portal to Act 1 Outer Cloister	1				100					2	"tes"	"r05"						"Red Portal,qty=27"																													r05																													tes																													0
Easier Red Portal to Act 1 Jail 1	1				100					2	"tes"	"r06"						"Red Portal,qty=29"																													r06																													tes																													0
Easier Red Portal to Act 1 Inner Cloister	1				100					2	"tes"	"r07"						"Red Portal,qty=32"																													r07																													tes																													0
Easier Red Portal to Act 1 Catacombs Level 2	1				100					2	"tes"	"r08"						"Red Portal,qty=35"																													r08																													tes																													0
Easier Red Portal to Act 1 Moo Moo Farm	1				100					2	"tes"	"r09"						"Red Portal,qty=39"																													r09																													tes																													0
Easier Red Portal to Act 1 Pit Level 1	1				100					2	"tes"	"r10"						"Red Portal,qty=12"																													r10																													tes																													0
Easier Red Portal to Act 1 Tower Cellar Level 5	1				100					2	"tes"	"r11"						"Red Portal,qty=25"																													r11																													tes																													0
Easier Red Portal to Act 1 Catacombs Level 4	1				100					2	"tes"	"r12"						"Red Portal,qty=37"																													r12																													tes																													0
Easier Red Portal to Act 2 Sewer 2	1				100					2	"pk1"	"r01"						"Red Portal,qty=48"																													r01																													pk1																													0
Easier Red Portal to Act 2 Dry Hills	1				100					2	"pk1"	"r02"						"Red Portal,qty=42"																													r02																													pk1																													0
Easier Red Portal to Act 2 Halls of the Dead Level 2	1				100					2	"pk1"	"r03"						"Red Portal,qty=57"																													r03																													pk1																													0
Easier Red Portal to Act 2 Far Oasis	1				100					2	"pk1"	"r04"						"Red Portal,qty=43"																													r04																													pk1																													0
Easier Red Portal to Act 2 Lost City	1				100					2	"pk1"	"r05"						"Red Portal,qty=44"																													r05																													pk1																													0
Easier Red Portal to Act 2 Palace Cellar Level 1	1				100					2	"pk1"	"r06"						"Red Portal,qty=52"																													r06																													pk1																													0
Easier Red Portal to Act 2 Arcane Sanctuary	1				100					2	"pk1"	"r07"						"Red Portal,qty=74"																													r07																													pk1																													0
Easier Red Portal to Act 2 Canyon of the Magi	1				100					2	"pk1"	"r08"						"Red Portal,qty=46"																													r08																													pk1																													0
Easier Red Portal to Act 2 Maggot Lair Level 3	1				100					2	"pk1"	"r09"						"Red Portal,qty=64"																													r09																													pk1																													0
Easier Red Portal to Act 2 Halls of the Dead Level 3	1				100					2	"pk1"	"r10"						"Red Portal,qty=60"																													r10																													pk1																													0
Easier Red Portal to Act 2 Claw Viper Temple Level 2	1				100					2	"pk1"	"r11"						"Red Portal,qty=61"																													r11																													pk1																													0
Easier Red Portal to Act 2 Duriel's Lair	1				100					2	"pk1"	"r12"						"Red Portal,qty=73"																													r12																													pk1																													0
Easier Red Portal to Act 2 Stony Tomb Level 1	1				100					2	"pk1"	"r13"						"Red Portal,qty=55"																													r13																													pk1																													0
Easier Red Portal to Act 2 Ancient Tunnels	1				100					2	"pk1"	"r14"						"Red Portal,qty=65"																													r14																													pk1																													0
Easier Red Portal to Act 3 Spider Forest	1				100					2	"ceh"	"r01"						"Red Portal,qty=76"																													r01																													ceh																													0
Easier Red Portal to Act 3 Great Marsh	1				100					2	"ceh"	"r02"						"Red Portal,qty=77"																													r02																													ceh																													0
Easier Red Portal to Act 3 Flayer Jungle	1				100					2	"ceh"	"r03"						"Red Portal,qty=78"																													r03																													ceh																													0
Easier Red Portal to Act 3 Lower Kurast	1				100					2	"ceh"	"r04"						"Red Portal,qty=79"																													r04																													ceh																													0
Easier Red Portal to Act 3 Kurast 2	1				100					2	"ceh"	"r05"						"Red Portal,qty=80"																													r05																													ceh																													0
Easier Red Portal to Act 3 Upper Kurast	1				100					2	"ceh"	"r06"						"Red Portal,qty=81"																													r06																													ceh																													0
Easier Red Portal to Act 3 Travincal	1				100					2	"ceh"	"r07"						"Red Portal,qty=83"																													r07																													ceh																													0
Easier Red Portal to Act 3 Durance of Hate Level 2	1				100					2	"ceh"	"r08"						"Red Portal,qty=101"																													r08																													ceh																													0
Easier Red Portal to Act 3 Spider Cavern	1				100					2	"ceh"	"r09"						"Red Portal,qty=85"																													r09																													ceh																													0
Easier Red Portal to Act 3 Flayer Dungeon Level 3	1				100					2	"ceh"	"r10"						"Red Portal,qty=91"																													r10																													ceh																													0
Easier Red Portal to Act 3 Sewer 2	1				100					2	"ceh"	"r11"						"Red Portal,qty=93"																													r11																													ceh																													0
Easier Red Portal to Act 3 Durance of Hate Level 3	1				100					2	"ceh"	"r12"						"Red Portal,qty=102"																													r12																													ceh																													0
Easier Red Portal to Act 4 Outer Steppes	1				100					2	"bet"	"r01"						"Red Portal,qty=104"																													r01																													bet																													0
Easier Red Portal to Act 4 Plains of Despair	1				100					2	"bet"	"r02"						"Red Portal,qty=105"																													r02																													bet																													0
Easier Red Portal to Act 4 City of the Damned	1				100					2	"bet"	"r03"						"Red Portal,qty=106"																													r03																													bet																													0
Easier Red Portal to Act 4 River of Flame	1				100					2	"bet"	"r04"						"Red Portal,qty=107"																													r04																													bet																													0
Easier Red Portal to Act 4 The Chaos Sanctuary	1				100					2	"bet"	"r12"						"Red Portal,qty=108"																													r12																													bet																													0
Easier Red Portal to Act 5 Frigid Highlands	1				100					2	"fed"	"r01"						"Red Portal,qty=111"																													r01																													fed																													0
Easier Red Portal to Act 5 Arreat Plateau	1				100					2	"fed"	"r02"						"Red Portal,qty=112"																													r02																													fed																													0
Easier Red Portal to Act 5 Crystalline Passage	1				100					2	"fed"	"r03"						"Red Portal,qty=113"																													r03																													fed																													0
Easier Red Portal to Act 5 Glacial Trail	1				100					2	"fed"	"r04"						"Red Portal,qty=115"																													r04																													fed																													0
Easier Red Portal to Act 5 Frozen Tundra	1				100					2	"fed"	"r05"						"Red Portal,qty=117"																													r05																													fed																													0
Easier Red Portal to Act 5 Halls of Pain	1				100					2	"fed"	"r06"						"Red Portal,qty=123"																													r06																													fed																													0
Easier Red Portal to Act 5 The Ancients' Way	1				100					2	"fed"	"r07"						"Red Portal,qty=118"																													r07																													fed																													0
Easier Red Portal to Act 5 Baal Temple 2	1				100					2	"fed"	"r08"						"Red Portal,qty=129"																													r08																													fed																													0
Easier Red Portal to Act 5 Frozen River	1				100					2	"fed"	"r09"						"Red Portal,qty=114"																													r09																													fed																													0
Easier Red Portal to Act 5 Nihlathak's Temple	1				100					2	"fed"	"r10"						"Red Portal,qty=121"																													r10																													fed																													0
Easier Red Portal to Act 5 Halls of Vaught	1				100					2	"fed"	"r11"						"Red Portal,qty=124"																													r11																													fed																													0
Easier Red Portal to Act 5 Throne of Destruction	1				100					2	"fed"	"r12"						"Red Portal,qty=131"																													r12																													fed																													0
weap,nor reroll	1				100					4	weap,nor	jew,qty=3						usetype,nor		40	60																																																																																				
armo,nor reroll	1				100					4	armo,nor	jew,qty=3						usetype,nor		40	60																																																																																				
weap,hiq reroll	1				100					4	weap,hiq	jew,qty=3						usetype,hiq		40	60																																																																																				
armo,hiq reroll	1				100					4	armo,hiq	jew,qty=3						usetype,hiq		40	60																																																																																				
weap,mag reroll	1				100					4	weap,mag	jew,qty=3						usetype,mag		40	60																																																																																				
armo,mag reroll	1				100					4	armo,mag	jew,qty=3						usetype,mag		40	60																																																																																				
weap,rar reroll	1				100					4	weap,rar	jew,qty=3						usetype,rar		40	60																																																																																				
armo,rar reroll	1				100					4	armo,rar	jew,qty=3						usetype,rar		40	60																																																																																				
rin,mag reroll	1				100					4	rin,mag	gem3,qty=3						usetype,mag		40	60																																																																																				
amu,mag reroll	1				100					4	amu,mag	gem3,qty=3						usetype,mag		40	60																																																																																				
rin,rar reroll	1				100					4	rin,rar	gem4,qty=3						usetype,rar		40	60																																																																																				
amu,rar reroll	1				100					4	amu,rar	gem4,qty=3						usetype,rar		40	60																																																																																				
weap,uni reroll	1				100					3	weap,uni	gem4	rune3					useitem,reg		40	60																																																																																				
armo,uni reroll	1				100					3	armo,uni	gem4	rune3					useitem,reg		40	60																																																																																				
weap,set reroll	1				100					3	weap,set	gem4	rune3					useitem,reg		40	60																																																																																				
armo,set reroll	1				100					3	armo,set	gem4	rune3					useitem,reg		40	60																																																																																				
rin,uni reroll	1				100					3	rin,uni	gem4	rune3					useitem,reg		40	60																																																																																				
amu,uni reroll	1				100					3	amu,uni	gem4	rune3					useitem,reg		40	60																																																																																				
rin,set reroll	1				100					3	rin,set	gem4	rune3					useitem,reg		40	60																																																																																				
amu,set reroll	1				100					3	amu,set	gem4	rune3					useitem,reg		40	60																																																																																				
jew,mag reroll	1				100					4	jew,mag	gem3,qty=3						usetype,mag		40	60																																																																																				
jew,rar reroll	1				100					4	jew,rar	gem4,qty=3						usetype,rar		40	60																																																																																				
char,mag reroll	1				100					4	char,mag	gem3,qty=3						usetype,mag		40	60																																																																																				
char,uni reroll	1				100					4	char,rar	gem4,qty=3						usetype,rar		40	60																																																																																				
Add 1 socket(s) to weap of 普通	1				100					3	"weap,nor,nos"	r15	"r01"					useitem				sock			1	1																																																																															0
